gene,region,average_expression,log2FC,pval,adj_pval,direction
LOC112532159,Ventral,0.0045,-3.034,5.82e-5,0.00106,de-enriched
COL22A1,Ventral,0.0082,-3.042,3.33e-7,1.04e-5,de-enriched
KCTD4,Ventral,0.0044,-3.057,3.5e-8,1.34e-6,de-enriched
EYA4,Ventral,0.051,-3.072,6.99e-14,8.66e-12,de-enriched
HCRT,Ventral,0.1185,-3.077,5.02e-12,4.36e-10,de-enriched
LOC107054674,Ventral,0.006,-3.14,1.17e-5,2.59e-4,de-enriched
SPERT,Ventral,0.0187,-3.199,3.31e-12,2.96e-10,de-enriched
LOC772381,Ventral,0.0311,-3.294,5.4e-16,9.76e-14,de-enriched
OPN4,Ventral,0.0055,-3.307,3.77e-6,9.18e-5,de-enriched
P3H2,Ventral,0.0058,-3.332,2.35e-6,5.98e-5,de-enriched
KCNG1,Ventral,9e-4,-3.351,8.03e-4,0.0105,de-enriched
RAMP1,Ventral,0.0529,-3.363,5.89e-12,5.04e-10,de-enriched
LYPD6B,Ventral,0.0132,-3.433,1.16e-10,7.62e-9,de-enriched
PHOX2B,Ventral,0.0068,-3.549,7.92e-8,2.81e-6,de-enriched
FOXD2,Ventral,0.0084,-3.678,5.46e-6,1.3e-4,de-enriched
CPXM2,Ventral,0.0111,-3.711,7.86e-5,0.00137,de-enriched
ADAM19,Ventral,7e-4,-3.738,6.56e-4,0.00884,de-enriched
LOC107052023,Ventral,6e-4,-3.965,8.92e-4,0.0115,de-enriched
TBX3,Ventral,0.7116,-4.04,1.37e-32,1.62e-28,de-enriched
LOC107054671,Ventral,0.0459,-4.076,6.39e-14,8.1e-12,de-enriched
GDF6,Ventral,0.4772,-4.084,6.87e-22,4.94e-19,de-enriched
LOC101748659,Ventral,9e-4,-4.178,0.00463,0.0451,de-enriched
UNC5B,Ventral,0.321,-4.278,1.55e-23,1.53e-20,de-enriched
WIF1,Ventral,0.0296,-4.493,1.2e-5,2.64e-4,de-enriched
LOC101752292,Ventral,0.001,-4.604,4.34e-5,8.21e-4,de-enriched
GATA3,Ventral,0.0044,-4.885,1.28e-6,3.47e-5,de-enriched
LYPD6,Ventral,0.2836,-5.229,1.05e-22,9.23e-20,de-enriched
EFNB2,Ventral,0.471,-5.493,5.38e-23,5.1e-20,de-enriched
TBX5,Ventral,0.2419,-5.751,1.02e-17,2.75e-15,de-enriched
ALDH1A1,Ventral,0.5895,-5.802,3.54e-22,2.8e-19,de-enriched
K123,Ventral,2e-4,-10,0.00489,0.0468,de-enriched
LOC107054520,Ventral,4e-4,-10,2.25e-4,0.0035,de-enriched
TRHR,Ventral,4e-4,-10,0.00388,0.0391,de-enriched
LOC112532120,Ventral,0.0012,-10,4.2e-5,7.99e-4,de-enriched
LOC107053071,Ventral,9e-4,-10,1.66e-4,0.00265,de-enriched
LOC112532545,Ventral,3e-4,-10,9.81e-4,0.0124,de-enriched
LOC107053856,Ventral,4e-4,-10,0.0033,0.0342,de-enriched
HHEX,DVcentral,0.0077,2.207,4.71e-11,9.04e-8,enriched
CYP26C1,DVcentral,0.0074,2.184,1.25e-8,1.06e-5,enriched
TBX18,DVcentral,0.001,2.02,1.64e-4,0.0156,enriched
FGF8,DVcentral,0.225,1.807,1.11e-12,4.37e-9,enriched
PIK3R5,DVcentral,0.0099,1.747,3.48e-8,2.17e-5,enriched
AKR1D1,DVcentral,0.0068,1.722,4.41e-5,0.00572,enriched
ABLIM3,DVcentral,0.0033,1.599,3.82e-4,0.0272,enriched
RASSF10,DVcentral,0.0083,1.384,6.3e-6,0.00135,enriched
OPN1LW,DVcentral,0.0174,1.254,8.66e-4,0.0445,enriched
BMP2,DVcentral,0.1285,1.233,1.82e-8,1.31e-5,enriched
LOC112530430,DVcentral,0.0078,1.198,6.02e-5,0.0071,enriched
IMPG1,DVcentral,0.0286,1.167,2.89e-4,0.0224,enriched
LOC112530114,DVcentral,0.0181,1.13,2.24e-4,0.0189,enriched
MYOF,DVcentral,0.0563,1.118,6.43e-14,7.62e-10,enriched
KIF26B,DVcentral,0.0209,1.08,2.74e-5,0.00401,enriched
NPY,DVcentral,0.1221,1.034,4.23e-5,0.00557,enriched
UNC5C,DVcentral,0.026,1.027,1.03e-5,0.0019,enriched
CYP26A1,DVcentral,0.0319,1.027,1.68e-8,1.3e-5,enriched
SLC18A3,DVcentral,0.022,1.003,7.19e-9,6.54e-6,enriched
HGF,DVcentral,0.0801,0.995,2.35e-6,6.47e-4,enriched
SOX3,DVcentral,0.0105,0.979,4.46e-4,0.0294,enriched
LOC112529956,DVcentral,0.0219,0.976,3.9e-6,9.43e-4,enriched
SEMA3A,DVcentral,0.2234,0.923,6.3e-10,7.86e-7,enriched
GBX1,DVcentral,0.0063,0.919,6.29e-4,0.0368,enriched
LOC107054282,DVcentral,0.0112,0.915,4.44e-4,0.0294,enriched
ENTPD1,DVcentral,0.0118,0.915,7.93e-5,0.00886,enriched
LOC107052867,DVcentral,0.0083,0.912,4.16e-4,0.0286,enriched
SEMA3G,DVcentral,0.0176,0.91,3.37e-5,0.00467,enriched
EMB,DVcentral,0.0799,0.905,1.25e-6,3.9e-4,enriched
KCNK1,DVcentral,0.0148,0.894,1e-5,0.0018600000000000001,enriched
RNF223,DVcentral,0.0086,0.88,1.32e-4,0.0133,enriched
TMEM59L,DVcentral,0.0531,0.867,5.55e-9,5.48e-6,enriched
GRIN2A,DVcentral,0.0787,0.848,6.62e-7,2.49e-4,enriched
ACKR3,DVcentral,0.0739,0.847,5.97e-8,3.63e-5,enriched
SPO11,DVcentral,0.0106,0.838,1.62e-5,0.00264,enriched
CNMD,DVcentral,0.0481,0.828,1.75e-5,0.00282,enriched
LRRTM1,DVcentral,0.0279,0.821,8.43e-7,3.12e-4,enriched
LOC107051811,DVcentral,0.0217,0.794,2.89e-5,0.00418,enriched
OCA2,DVcentral,0.0631,0.755,2.93e-7,1.39e-4,enriched
LOC101750883,DVcentral,0.0304,0.753,8.7e-6,0.0017,enriched
METTL7A,DVcentral,0.0233,0.744,6.56e-5,0.00763,enriched
CHRNA4,DVcentral,0.032,0.739,1.22e-5,0.00219,enriched
IRX5,DVcentral,0.0438,0.736,1.98e-4,0.0173,enriched
LOC112532525,DVcentral,0.0114,0.728,4.38e-4,0.0292,enriched
P2RY2,DVcentral,0.051,0.723,1.92e-5,0.003,enriched
ERBB4,DVcentral,0.0375,0.721,2.67e-4,0.0212,enriched
PARP8,DVcentral,0.2953,0.716,2.01e-7,1.01e-4,enriched
PDE4D,DVcentral,0.1502,0.693,3.85e-7,1.63e-4,enriched
CSRP2,DVcentral,0.0478,0.679,4.89e-4,0.0317,enriched
PPP1R14C,DVcentral,0.2859,0.668,7.84e-6,0.0016,enriched
LOC107053612,DVcentral,0.0103,0.659,9.95e-4,0.0492,enriched
CREB3L1,DVcentral,0.0252,0.647,5.84e-4,0.0351,enriched
LOC101750484,DVcentral,0.0168,0.645,2.67e-4,0.0212,enriched
HEY1,DVcentral,0.7002,0.643,2.51e-10,3.5e-7,enriched
LOC419429,DVcentral,0.0322,0.634,3.31e-6,8.25e-4,enriched
LOC112532916,DVcentral,0.0231,0.632,7.26e-4,0.04,enriched
SLC35F4,DVcentral,0.027,0.631,7.18e-6,0.00148,enriched
LOC423301,DVcentral,0.0271,0.624,2.66e-4,0.0212,enriched
LOC107052244,DVcentral,0.0185,0.622,8.49e-4,0.0439,enriched
PLSCR1,DVcentral,0.063,0.621,6.74e-6,0.00143,enriched
PIWIL1,DVcentral,0.0146,0.618,4.21e-4,0.0288,enriched
DOCK3,DVcentral,0.9475,0.605,1.34e-6,4.11e-4,enriched
PCDH17,DVcentral,0.214,0.594,6.69e-13,3.97e-9,enriched
IGFBP5,DVcentral,0.6439,0.588,2.63e-5,0.00388,enriched
ZNF488,DVcentral,0.0763,0.583,1.7e-8,1.3e-5,enriched
CD164L2,DVcentral,0.0308,0.582,1.47e-5,0.0025,enriched
SDPR,DVcentral,0.0481,0.574,6.07e-7,2.39e-4,enriched
LOC107051722,DVcentral,0.0281,0.566,1.74e-4,0.0158,enriched
JPH1,DVcentral,0.1893,0.553,3.01e-6,7.67e-4,enriched
SGCD,DVcentral,0.1111,0.55,5.55e-5,0.00671,enriched
MAPKAPK3,DVcentral,0.1948,0.542,2.47e-4,0.0203,enriched
ADAP1,DVcentral,0.0268,0.529,1.8e-4,0.016,enriched
CG-16,DVcentral,0.1205,0.529,3.55e-4,0.0262,enriched
LOC107053541,DVcentral,0.0633,0.517,9.82e-4,0.0487,enriched
SHE,DVcentral,0.0274,0.513,8.57e-4,0.0441,enriched
SORCS1,DVcentral,0.5216,0.511,2.87e-4,0.0223,enriched
TMEM121,DVcentral,0.2189,0.508,2.02e-4,0.0176,enriched
FOSL2,DVcentral,0.033,0.495,6.19e-4,0.0364,enriched
CRABP1,DVcentral,0.6583,0.491,4.12e-5,0.00549,enriched
SPRY1,DVcentral,0.1759,0.487,1.64e-6,4.86e-4,enriched
B3GALT2,DVcentral,0.0359,0.485,1.12e-4,0.0116,enriched
SOSTDC1,DVcentral,0.141,0.483,2.42e-5,0.00363,enriched
DRCC1,DVcentral,0.0656,0.48,1.13e-5,0.00206,enriched
NRXN3,DVcentral,0.352,0.478,2.8e-4,0.0222,enriched
BMP7,DVcentral,0.2599,0.474,2.66e-9,3e-6,enriched
DUSP6,DVcentral,0.1654,0.473,4.44e-5,0.00572,enriched
LOC107054371,DVcentral,0.1088,0.467,2.43e-6,6.47e-4,enriched
PAX2,DVcentral,0.2184,0.459,8.87e-6,0.0017,enriched
PCOLCE2,DVcentral,0.0736,0.459,8.05e-5,0.00896,enriched
LRRC73,DVcentral,0.0269,0.456,8.13e-4,0.0429,enriched
TRHDE,DVcentral,0.2756,0.453,5.38e-4,0.0337,enriched
FAM19A3,DVcentral,0.0326,0.449,1.41e-4,0.0139,enriched
LOC101748577,DVcentral,0.1074,0.445,9.37e-4,0.0472,enriched
ANKRD6,DVcentral,0.8315,0.444,4.28e-5,0.00561,enriched
TUBB3,DVcentral,0.3071,0.441,5.16e-6,0.00117,enriched
MFAP5,DVcentral,0.0285,0.435,7.22e-4,0.0399,enriched
NAT8L,DVcentral,0.1719,0.429,2.22e-10,3.28e-7,enriched
DIO3,DVcentral,0.3431,0.428,5.08e-4,0.0324,enriched
SLC25A34,DVcentral,0.0269,0.427,8.02e-4,0.0426,enriched
DDAH1,DVcentral,0.071,0.426,4.41e-6,0.00104,enriched
ETV4,DVcentral,0.128,0.421,1.61e-6,4.82e-4,enriched
LOC101751742,DVcentral,0.0921,0.418,2.6e-7,1.26e-4,enriched
SPHKAP,DVcentral,0.0735,0.416,4.4e-4,0.0293,enriched
WDR86,DVcentral,0.024,0.414,7.13e-4,0.0396,enriched
BTBD17,DVcentral,0.0702,0.41,2.46e-4,0.0203,enriched
JAG2,DVcentral,0.0871,0.41,5.68e-5,0.0068,enriched
AKAIN1,DVcentral,0.0248,0.409,7.96e-4,0.0424,enriched
LOC107051837,DVcentral,0.0848,0.404,0.001,0.0496,enriched
LOC101749388,DVcentral,0.5943,0.401,3.88e-4,0.0274,enriched
FOS,DVcentral,0.2529,0.4,6.44e-4,0.0374,enriched
DPYSL3,DVcentral,0.1374,0.397,1.66e-4,0.0156,enriched
NDRG1,DVcentral,1.0605,0.396,1.52e-10,2.57e-7,enriched
FBXW4,DVcentral,0.1769,0.394,5.96e-9,5.65e-6,enriched
LOC107051851,DVcentral,0.1409,0.393,3.89e-4,0.0274,enriched
PDE1B,DVcentral,0.0313,0.388,6.62e-4,0.038,enriched
SHANK2,DVcentral,1.1509,0.388,1.52e-5,0.00254,enriched
RALGDS,DVcentral,0.1549,0.387,8.11e-5,0.00898,enriched
SOX21,DVcentral,0.9296,0.384,5.45e-9,5.48e-6,enriched
AMER2,DVcentral,0.6271,0.384,7.45e-9,6.54e-6,enriched
ADCY5,DVcentral,0.6197,0.381,7.32e-5,0.0083,enriched
LAMA1,DVcentral,0.0614,0.378,1.43e-5,0.00247,enriched
LOC107052887,DVcentral,0.3584,0.377,8.48e-6,0.0017,enriched
LOC112532080,DVcentral,0.0516,0.375,5.88e-6,0.00128,enriched
FSD1L,DVcentral,0.2222,0.375,6.73e-4,0.0381,enriched
DLL1,DVcentral,0.6423,0.367,5.14e-5,0.00642,enriched
MIR181B2,DVcentral,0.0686,0.356,1.33e-5,0.00234,enriched
MYO1D,DVcentral,0.1009,0.356,2.03e-4,0.0176,enriched
SOCS5,DVcentral,0.1258,0.356,8.21e-5,0.00901,enriched
VWC2,DVcentral,0.1528,0.353,1.18e-6,3.77e-4,enriched
GADD45A,DVcentral,0.7798,0.353,1.7e-4,0.0156,enriched
LOC101749175,DVcentral,0.2269,0.346,1.41e-4,0.0139,enriched
