gene,region,average_expression,log2FC,pval,adj_pval,direction
RBM24,Dorsal,0.0648,1.191,1.61e-9,1.18e-7,enriched
KIAA1755,Dorsal,0.004,1.189,9.36e-4,0.0145,enriched
GRIN3A,Dorsal,0.1502,1.187,3.3e-15,8.41e-13,enriched
KCTD4,Dorsal,0.0044,1.177,1.17e-4,0.00237,enriched
LOC112532440,Dorsal,0.0114,1.165,4.8e-4,0.00818,enriched
LOC101749175,Dorsal,0.2269,1.16,5.17e-15,1.25e-12,enriched
SASH1,Dorsal,1.3319,1.16,1.2400000000000001e-27,5.8999999999999995e-24,enriched
BOLL,Dorsal,0.0024,1.153,6.43e-4,0.0106,enriched
PVALB,Dorsal,0.0157,1.146,4.48e-5,0.00102,enriched
LDB3,Dorsal,0.0528,1.144,1.21e-4,0.00245,enriched
PALMD,Dorsal,0.0232,1.136,6.87e-9,4.33e-7,enriched
LOC107053238,Dorsal,0.0047,1.134,3.48e-4,0.00627,enriched
PDZRN4,Dorsal,0.0137,1.133,4.03e-4,0.00706,enriched
LOC112532159,Dorsal,0.0045,1.128,5.91e-4,0.00982,enriched
LOC107053802,Dorsal,0.0053,1.11,5.41e-4,0.0091,enriched
EFNB1,Dorsal,1.3493,1.105,4.6000000000000004e-29,3.63e-25,enriched
TBX2,Dorsal,0.4851,1.092,6.26e-18,3.16e-15,enriched
KYNU,Dorsal,0.0042,1.081,4.27e-4,0.00741,enriched
ANGPT1,Dorsal,0.0068,1.078,0.00233,0.031,enriched
UACA,Dorsal,0.197,1.058,2.84e-17,1.14e-14,enriched
AFF3,Dorsal,0.1316,1.055,1.54e-6,5.42e-5,enriched
THBS2,Dorsal,0.1299,1.054,1.3e-11,1.57e-9,enriched
LOC101748323,Dorsal,0.0074,1.053,1.04e-4,0.00215,enriched
CAP2,Dorsal,0.135,1.053,1.43e-13,2.65e-11,enriched
NR0B1,Dorsal,0.0783,1.051,2.67e-4,0.00498,enriched
AJAP1,Dorsal,0.0418,1.04,1.53e-5,4.04e-4,enriched
FRRS1,Dorsal,0.1191,1.039,6.35e-16,1.84e-13,enriched
FAM84A,Dorsal,0.0126,1.033,2.13e-4,0.00406,enriched
LOC112532897,Dorsal,0.0548,1.029,1.9e-15,5.05e-13,enriched
SYNM,Dorsal,0.3085,1.022,4.38e-15,1.07e-12,enriched
MKX,Dorsal,0.0183,1.02,5.54e-6,1.66e-4,enriched
LOC112532753,Dorsal,0.0897,1.018,5.46e-11,5.39e-9,enriched
FGF7,Dorsal,0.0198,1.008,0.00101,0.0155,enriched
LOC101751009,Dorsal,0.0045,1.008,0.00293,0.037,enriched
FIBIN,Dorsal,0.0064,1.005,1.79e-5,4.6e-4,enriched
CNTNAP5,Dorsal,0.0116,1.005,9.81e-5,0.00204,enriched
LOC112533279,Dorsal,0.019,1.002,0.00103,0.0157,enriched
CACNG4,Dorsal,0.144,0.998,4.64e-11,4.78e-9,enriched
GABRG1,Dorsal,0.0248,0.996,2.52e-6,8.26e-5,enriched
IGSF11,Dorsal,0.29,0.986,5.99e-10,4.81e-8,enriched
PRSS35,Dorsal,0.0737,0.974,6.39e-6,1.88e-4,enriched
FGF23,Dorsal,0.0033,0.971,0.00109,0.0165,enriched
TMEM74,Dorsal,0.0541,0.967,2.92e-8,1.56e-6,enriched
ID3,Dorsal,0.6476,0.967,1.87e-12,2.55e-10,enriched
PCBD1,Dorsal,0.1858,0.967,1.35e-21,1.91e-18,enriched
IL1RL2,Dorsal,0.0049,0.963,0.00116,0.0173,enriched
ANOS1,Dorsal,0.3921,0.96,6.57e-20,5.56e-17,enriched
LOC101748577,Dorsal,0.1074,0.955,1.43e-12,2.01e-10,enriched
DLGAP1L,Dorsal,1.132,0.941,8.52e-17,3.06e-14,enriched
FAM163A,Dorsal,0.0858,0.939,1.84e-8,1.03e-6,enriched
LOC101749201,Dorsal,0.0076,0.935,0.00259,0.0336,enriched
HFM1,Dorsal,0.0765,0.93,1.06e-7,4.92e-6,enriched
TNFRSF19,Dorsal,0.0247,0.929,3.26e-5,7.79e-4,enriched
NHSL2,Dorsal,0.005,0.924,0.00141,0.0204,enriched
GABRA2,Dorsal,0.0101,0.923,1.71e-6,5.92e-5,enriched
CCND2,Dorsal,0.7628,0.92,3.64e-20,3.45e-17,enriched
CA14,Dorsal,0.0672,0.911,1.09e-5,3.01e-4,enriched
ANKEF1,Dorsal,0.0207,0.906,2.17e-6,7.31e-5,enriched
NWD2,Dorsal,0.0311,0.905,5.27e-7,2.09e-5,enriched
ADGRB3,Dorsal,2.1397,0.89,4.72e-18,2.43e-15,enriched
NPPC,Dorsal,0.0116,0.884,0.0017,0.0239,enriched
LOC101750459,Dorsal,0.0081,0.881,0.00134,0.0196,enriched
CACNA1H,Dorsal,0.0413,0.876,2.03e-9,1.43e-7,enriched
GLUL,Dorsal,0.0862,0.876,4.1e-7,1.67e-5,enriched
LOC112532754,Dorsal,0.0104,0.872,3.72e-6,1.17e-4,enriched
LOC112532154,Dorsal,0.0173,0.87,0.00111,0.0167,enriched
FAM13C,Dorsal,0.0747,0.866,1.02e-6,3.7e-5,enriched
IL34,Dorsal,0.0044,0.861,3.23e-4,0.00588,enriched
LOC107054988,Dorsal,0.0058,0.861,4e-4,0.00703,enriched
COMTD1,Dorsal,0.0513,0.861,1.39e-5,3.74e-4,enriched
ID2,Dorsal,0.7341,0.853,2.97e-11,3.24e-9,enriched
LOC107053055,Dorsal,0.178,0.844,2.43e-7,1.03e-5,enriched
LOC112530147,Dorsal,0.0111,0.841,0.0037,0.0448,enriched
LOC101750132,Dorsal,0.2321,0.839,1.89e-6,6.51e-5,enriched
SLC25A21,Dorsal,0.1539,0.833,5.59e-16,1.64e-13,enriched
NRK,Dorsal,0.0648,0.83,2.39e-8,1.29e-6,enriched
SCUBE3,Dorsal,0.0561,0.829,1.1e-9,8.34e-8,enriched
RCAN2,Dorsal,0.1797,0.827,3.93e-6,1.23e-4,enriched
LOC112530139,Dorsal,0.1121,0.821,1.63e-13,2.95e-11,enriched
SLC32A1,Dorsal,0.0106,0.818,0.00198,0.027,enriched
GK5,Dorsal,0.0878,0.816,4.13e-6,1.29e-4,enriched
PRDM5,Dorsal,0.0291,0.815,5.4e-8,2.7e-6,enriched
MCTP1,Dorsal,0.062,0.811,3.94e-6,1.23e-4,enriched
LPAR1,Dorsal,0.0251,0.799,4.06e-5,9.46e-4,enriched
LOC112532281,Dorsal,0.046,0.793,6.24e-10,4.98e-8,enriched
COLEC12,Dorsal,0.168,0.79,2.87e-7,1.21e-5,enriched
KCNG2,Dorsal,0.0206,0.783,1.17e-7,5.36e-6,enriched
LIN28B,Dorsal,0.1626,0.78,6.26e-8,3.07e-6,enriched
LOC770126,Dorsal,0.065,0.778,1.76e-5,4.52e-4,enriched
LOC112532213,Dorsal,0.0266,0.775,1.14e-5,3.16e-4,enriched
CD24,Dorsal,0.2361,0.774,9.29e-15,2.12e-12,enriched
POPDC3,Dorsal,0.0168,0.767,1.65e-4,0.00322,enriched
LOC107054133,Dorsal,0.0117,0.767,1.68e-5,4.37e-4,enriched
LOC107052027,Dorsal,0.0805,0.765,4.23e-5,9.78e-4,enriched
MCCC2L,Dorsal,0.0067,0.765,0.00406,0.0484,enriched
CRABP1,Dorsal,0.6583,0.76,2.35e-9,1.65e-7,enriched
LOC426155,Dorsal,0.1239,0.758,2.09e-8,1.14e-6,enriched
AGPAT5,Dorsal,0.3956,0.754,2.35e-17,1e-14,enriched
CYYR1,Dorsal,0.0626,0.753,9.17e-9,5.55e-7,enriched
IL1RAPL1,Dorsal,0.2588,0.752,9.92e-6,2.77e-4,enriched
PLD5,Dorsal,0.0265,0.748,1.09e-4,0.00224,enriched
LOC112533507,Dorsal,0.0035,0.74,0.00418,0.0494,enriched
LAMP5,Dorsal,0.0062,0.74,6.44e-4,0.0106,enriched
MAB21L2,Dorsal,0.3628,0.738,1.79e-13,3.19e-11,enriched
TNFRSF1B,Dorsal,0.0154,0.737,4.32e-6,1.33e-4,enriched
SMAD6,Dorsal,0.3758,0.735,2.84e-13,4.88e-11,enriched
FOXO6,Dorsal,0.2791,0.733,4.15e-19,2.59e-16,enriched
NPM3,Dorsal,0.1502,0.73,1.01e-9,7.72e-8,enriched
PROSER2,Dorsal,0.0096,0.729,4.48e-4,0.0077,enriched
LOC422872,Dorsal,0.2095,0.725,1.57e-8,8.91e-7,enriched
LOC107054901,Dorsal,0.0089,0.723,3.81e-5,8.98e-4,enriched
CDC14A,Dorsal,1.4852,0.721,7.12e-22,1.13e-18,enriched
CAPS2,Dorsal,0.0413,0.719,2.34e-5,5.8e-4,enriched
LOC107052923,Dorsal,0.0247,0.712,1.04e-8,6.19e-7,enriched
LOC101751384,Dorsal,0.067,0.712,8.88e-6,2.5e-4,enriched
PLCD1,Dorsal,0.0357,0.711,2e-7,8.61e-6,enriched
LOC419429,Dorsal,0.0322,0.711,1.66e-7,7.3e-6,enriched
KCNIP4,Dorsal,0.5473,0.708,2.55e-12,3.43e-10,enriched
FZD2,Dorsal,0.0377,0.702,8.55e-7,3.17e-5,enriched
CXCR1,Dorsal,0.0053,0.701,0.00263,0.0339,enriched
ASCL1,Dorsal,0.4175,0.696,6.68e-12,8.52e-10,enriched
HMX1,Dorsal,0.7218,0.696,2.04e-11,2.31e-9,enriched
GDPD4,Dorsal,0.1834,0.695,1.19e-12,1.75e-10,enriched
PCDH11X,Dorsal,0.0865,0.691,6.31e-8,3.08e-6,enriched
LOC112530138,Dorsal,0.0126,0.69,7.3e-4,0.0118,enriched
LOC101750095,Dorsal,0.0543,0.69,4.78e-4,0.00816,enriched
PLPP4,Dorsal,0.0117,0.688,0.00129,0.0189,enriched
PRKCE,Dorsal,0.4146,0.686,3.99e-16,1.18e-13,enriched
LOC107053941,Dorsal,0.0218,0.669,7.05e-6,2.05e-4,enriched
TSHZ3,Dorsal,0.1866,0.663,4.13e-15,1.02e-12,enriched
USH2A,Dorsal,0.1788,0.662,2.99e-6,9.68e-5,enriched
RASL11AL,Dorsal,0.0141,0.66,1.62e-4,0.00317,enriched
MYRIP,Dorsal,0.0894,0.655,7.78e-5,0.00167,enriched
CACNA2D3,Dorsal,0.0632,0.65,0.00218,0.0293,enriched
EDNRA,Dorsal,0.072,0.65,1.35e-8,7.78e-7,enriched
TBC1D1,Dorsal,0.1703,0.65,1.35e-11,1.57e-9,enriched
FGF14,Dorsal,0.274,0.647,2.65e-13,4.61e-11,enriched
SV2B,Dorsal,0.0674,0.647,0.00383,0.0461,enriched
LOC101750669,Dorsal,0.116,0.646,1.97e-5,5.02e-4,enriched
SLC16A7,Dorsal,0.0503,0.634,4.75e-6,1.45e-4,enriched
ADAMTSL2L,Dorsal,0.0531,0.634,6.78e-9,4.31e-7,enriched
CREG2,Dorsal,0.0059,0.631,0.00178,0.0247,enriched
EPHA7,Dorsal,0.1723,0.631,1.68e-8,9.46e-7,enriched
KIAA1217,Dorsal,0.2134,0.629,3.01e-5,7.25e-4,enriched
VSTM2L,Dorsal,0.0801,0.629,1.44e-5,3.84e-4,enriched
SOHO-1,Dorsal,0.4396,0.629,7.04e-14,1.39e-11,enriched
PRRT1B,Dorsal,0.04,0.624,2.93e-6,9.5e-5,enriched
VDR,Dorsal,0.0307,0.622,6e-6,1.77e-4,enriched
BVES,Dorsal,0.0561,0.621,2.3e-5,5.73e-4,enriched
RPRML,Dorsal,0.0171,0.619,2.5e-4,0.00469,enriched
SAMD11,Dorsal,0.2246,0.614,5.91e-7,2.31e-5,enriched
DHRS11,Dorsal,0.3663,0.61,2.51e-20,2.59e-17,enriched
FHOD3,Dorsal,0.2632,0.609,4.69e-8,2.39e-6,enriched
CDH4,Dorsal,0.243,0.609,1.51e-7,6.76e-6,enriched
CACNB2,Dorsal,0.0792,0.605,2.56e-5,6.26e-4,enriched
SLIT3,Dorsal,0.0128,0.599,0.00113,0.017,enriched
OTOS,Dorsal,0.0294,0.599,1.52e-5,4.02e-4,enriched
DDTNFR23,Dorsal,0.0192,0.598,3.08e-5,7.39e-4,enriched
RSPO2,Dorsal,0.4071,0.595,3.79e-8,1.96e-6,enriched
CYP39A1,Dorsal,0.0423,0.588,2.98e-7,1.25e-5,enriched
ODF2L,Dorsal,0.059,0.588,3.79e-7,1.56e-5,enriched
C11orf63,Dorsal,0.0209,0.586,3.67e-4,0.00655,enriched
LOC107052005,Dorsal,0.0138,0.585,0.00269,0.0345,enriched
INF2,Dorsal,0.0311,0.585,5.24e-5,0.00117,enriched
ATOH8,Dorsal,0.0417,0.584,1.16e-4,0.00237,enriched
RNF150,Dorsal,0.3592,0.582,3.84e-12,5.08e-10,enriched
LOC107054036,Dorsal,0.0172,0.582,2.81e-5,6.81e-4,enriched
LOC101750272,Dorsal,0.1723,0.581,3.42e-13,5.71e-11,enriched
C1H11ORF70,Dorsal,0.0503,0.575,1.64e-4,0.00319,enriched
LOC107054123,Dorsal,0.0161,0.575,2.85e-5,6.89e-4,enriched
NKD1,Dorsal,0.2543,0.574,3.43e-7,1.43e-5,enriched
ASPA,Dorsal,0.0204,0.573,2.36e-4,0.00445,enriched
ST3GAL1,Dorsal,1.081,0.573,2e-14,4.31e-12,enriched
LOC107050459,Dorsal,0.0281,0.572,7.84e-6,2.24e-4,enriched
PAK5,Dorsal,0.0607,0.572,6.62e-7,2.56e-5,enriched
DNAH7,Dorsal,0.013,0.571,0.00183,0.0253,enriched
PRELP,Dorsal,0.0284,0.568,1.18e-6,4.25e-5,enriched
ASNSD1,Dorsal,0.2737,0.567,8.97e-13,1.36e-10,enriched
LOC418114,Dorsal,0.0316,0.565,4.32e-4,0.00749,enriched
ECEL1,Dorsal,0.0277,0.563,1.51e-4,0.00297,enriched
ETNK2,Dorsal,0.0283,0.561,3.35e-4,0.00609,enriched
FOXD1,Dorsal,0.2953,0.561,8.59e-6,2.43e-4,enriched
LOC101751615,Dorsal,0.0173,0.556,0.00207,0.028,enriched
VWA3B,Dorsal,0.0515,0.555,0.00114,0.017,enriched
LOC107052788,Dorsal,0.0406,0.555,1.14e-6,4.11e-5,enriched
HHIP,Dorsal,0.1176,0.554,2.02e-5,5.14e-4,enriched
MSRB3,Dorsal,0.1829,0.551,8.3e-8,3.97e-6,enriched
LATS2,Dorsal,0.0261,0.541,6.51e-5,0.00143,enriched
CDCP1,Dorsal,0.0337,0.541,0.00103,0.0157,enriched
PCDH18,Dorsal,0.1567,0.541,4.89e-10,4.01e-8,enriched
ADGRB1,Dorsal,0.1648,0.54,9.91e-6,2.77e-4,enriched
FILIP1L,Dorsal,0.1428,0.539,1.22e-5,3.35e-4,enriched
EHD4,Dorsal,0.0906,0.539,1.19e-9,8.91e-8,enriched
CTTNBP2,Dorsal,0.1576,0.534,7.35e-7,2.79e-5,enriched
SLC4A4,Dorsal,0.8087,0.534,5.94e-13,9.39e-11,enriched
VSX1,Dorsal,1.1968,0.531,1.88e-8,1.04e-6,enriched
FGFBP3,Dorsal,2.1378,0.53,6.66e-7,2.57e-5,enriched
LOC112532585,Dorsal,0.0157,0.528,0.00125,0.0185,enriched
TPRG1L,Dorsal,0.3153,0.527,7.95e-9,4.91e-7,enriched
MREG,Dorsal,0.0191,0.523,9.49e-5,0.00198,enriched
RGS7,Dorsal,0.0166,0.521,0.00278,0.0354,enriched
RBM11,Dorsal,0.0086,0.519,0.00347,0.0425,enriched
RAMP3,Dorsal,0.0209,0.519,0.00113,0.0169,enriched
TSPAN4,Dorsal,0.1408,0.517,7.08e-6,2.06e-4,enriched
EPHA3,Dorsal,0.5771,0.514,1.73e-9,1.26e-7,enriched
TMEM200A,Dorsal,0.1099,0.514,1.83e-7,7.98e-6,enriched
DACH2,Dorsal,0.8616,0.514,1.56e-16,5.28e-14,enriched
BICD1,Dorsal,0.2707,0.513,6.83e-10,5.39e-8,enriched
CTSO,Dorsal,0.1151,0.512,3.09e-10,2.63e-8,enriched
MYB,Dorsal,0.7,0.506,7.9e-11,7.43e-9,enriched
OLFML2A,Dorsal,0.0183,0.505,7.81e-4,0.0124,enriched
VWA5B1,Dorsal,0.0209,0.504,9.68e-4,0.0149,enriched
LRRC1,Dorsal,0.3701,0.504,3.98e-13,6.51e-11,enriched
TIGAR,Dorsal,0.1074,0.503,1.39e-12,1.97e-10,enriched
SLC25A4,Dorsal,0.0488,0.502,3.74e-4,0.00665,enriched
LOC107056898,Dorsal,0.0154,0.501,7.17e-4,0.0116,enriched
SLC6A1,Dorsal,0.0178,0.5,5.56e-4,0.00933,enriched
ANTXRL,Dorsal,0.6433,0.5,3.88e-8,2e-6,enriched
ADRA2C,Dorsal,0.011,0.496,0.00156,0.0223,enriched
ANKS1B,Dorsal,0.3216,0.494,2.42e-6,7.98e-5,enriched
RSPH1,Dorsal,0.0405,0.494,0.00305,0.0382,enriched
RAX,Dorsal,1.3948,0.493,9.15e-14,1.72e-11,enriched
FKBP9,Dorsal,0.5796,0.492,5.28e-11,5.24e-9,enriched
LOC771085,Dorsal,0.0207,0.491,0.00198,0.027,enriched
LOC101749448,Dorsal,0.0283,0.489,1.32e-4,0.00265,enriched
FAM194A,Dorsal,0.0166,0.489,0.0042,0.0496,enriched
SLC29A3,Dorsal,0.036,0.488,1.35e-6,4.83e-5,enriched
HMGA2,Dorsal,0.6855,0.486,1.87e-12,2.55e-10,enriched
STS,Dorsal,0.0975,0.483,2.57e-4,0.0048,enriched
FAM160A1,Dorsal,0.2922,0.483,5.51e-11,5.42e-9,enriched
SBSPON,Dorsal,0.0293,0.482,0.00256,0.0334,enriched
PRR5L,Dorsal,0.0277,0.481,7.58e-4,0.0121,enriched
ADCYAP1R1,Dorsal,0.2337,0.48,2.26e-5,5.64e-4,enriched
MFSD2A,Dorsal,0.4017,0.48,3.58e-18,1.97e-15,enriched
SLC35G1,Dorsal,0.0219,0.477,0.00287,0.0363,enriched
CFAP57,Dorsal,0.0323,0.472,0.00187,0.0258,enriched
PM20D2,Dorsal,0.0969,0.471,7.72e-11,7.3e-9,enriched
ZNF385D,Dorsal,1.1565,0.464,2.51e-8,1.35e-6,enriched
C3H1ORF115,Dorsal,0.0148,0.462,0.00262,0.0338,enriched
ME1,Dorsal,0.2371,0.461,1.5e-5,3.99e-4,enriched
CCDC50,Dorsal,0.2592,0.461,7.94e-9,4.91e-7,enriched
CDH12,Dorsal,1.0012,0.46,1.17e-7,5.36e-6,enriched
DKK3,Dorsal,0.5962,0.46,9.57e-7,3.5e-5,enriched
COL5A2,Dorsal,0.2602,0.46,1.68e-6,5.85e-5,enriched
DDAH1,Dorsal,0.071,0.46,7.6e-7,2.87e-5,enriched
SLITRK2,Dorsal,0.1406,0.459,1.45e-9,1.07e-7,enriched
RGS7BP,Dorsal,0.2418,0.459,8.4e-7,3.13e-5,enriched
ROBO1,Dorsal,0.2611,0.456,0.001,0.0154,enriched
NEXN,Dorsal,0.0452,0.454,4.91e-4,0.00835,enriched
HSPB9,Dorsal,0.1148,0.45,1.05e-4,0.00216,enriched
PTPRK,Dorsal,0.3275,0.449,1.01e-6,3.7e-5,enriched
VEPH1,Dorsal,0.424,0.449,1.07e-10,9.98e-9,enriched
AHR,Dorsal,0.1656,0.448,3.32e-7,1.39e-5,enriched
FAM46A,Dorsal,0.0448,0.446,2.11e-6,7.16e-5,enriched
TMSB4Y,Dorsal,0.3153,0.445,8.45e-5,0.0018,enriched
MPPED2,Dorsal,0.4411,0.445,3.22e-10,2.72e-8,enriched
OSBPL3,Dorsal,0.0405,0.444,0.00192,0.0263,enriched
RSPH9,Dorsal,0.0457,0.441,8.04e-5,0.00172,enriched
PPARGC1A,Dorsal,0.2301,0.441,2.56e-5,6.26e-4,enriched
LOC422442,Dorsal,0.0338,0.439,0.00227,0.0302,enriched
MIR1797,Dorsal,0.0504,0.437,2.24e-6,7.47e-5,enriched
GSTAL2,Dorsal,0.1884,0.437,3.43e-5,8.17e-4,enriched
SSFA2,Dorsal,0.0403,0.437,6.76e-4,0.0111,enriched
RNF180,Dorsal,0.303,0.437,4.11e-5,9.56e-4,enriched
PHLDB1,Dorsal,0.1357,0.436,6.54e-7,2.53e-5,enriched
GLIS3,Dorsal,0.0433,0.428,0.00254,0.0331,enriched
C1H21ORF91,Dorsal,0.2574,0.427,3.79e-9,2.52e-7,enriched
LEPROT,Dorsal,0.0973,0.426,8.77e-9,5.37e-7,enriched
MMADHC,Dorsal,0.236,0.425,1.64e-14,3.68e-12,enriched
ITGA9,Dorsal,0.0173,0.423,0.00231,0.0307,enriched
ANO3,Dorsal,0.2466,0.421,4.49e-4,0.0077,enriched
RDH12,Dorsal,0.4768,0.421,2.83e-8,1.51e-6,enriched
LOC107054575,Dorsal,0.0582,0.419,2.53e-5,6.21e-4,enriched
GK,Dorsal,0.1069,0.416,3.33e-7,1.39e-5,enriched
BAIAP2L1,Dorsal,0.3593,0.415,4.15e-7,1.68e-5,enriched
LYPLAL1,Dorsal,0.0831,0.414,2.31e-5,5.73e-4,enriched
LOC112531785,Dorsal,0.0858,0.413,5.79e-8,2.86e-6,enriched
TLE1,Dorsal,0.7446,0.413,0.00162,0.023,enriched
FGFR4,Dorsal,0.0639,0.412,4.98e-5,0.00112,enriched
GRIK1,Dorsal,0.3153,0.409,4.36e-4,0.00755,enriched
METTL25,Dorsal,0.1477,0.405,7.82e-7,2.94e-5,enriched
ANKFN1,Dorsal,0.1404,0.404,2.89e-4,0.00535,enriched
RHOB,Dorsal,0.2967,0.404,8.3e-5,0.00177,enriched
CELF4,Dorsal,0.5468,0.404,0.00134,0.0196,enriched
LURAP1L,Dorsal,0.0783,0.404,1.51e-4,0.00298,enriched
LOC101749434,Dorsal,0.033,0.402,0.00203,0.0276,enriched
ARFGEF3,Dorsal,0.0568,0.401,1.57e-4,0.00309,enriched
EPB41L2,Dorsal,1.2346,0.401,5.81e-13,9.25e-11,enriched
LOC101748673,Dorsal,0.0771,0.401,5.77e-5,0.00128,enriched
IL10RB,Dorsal,0.0404,0.4,3.71e-5,8.76e-4,enriched
MYO1H,Dorsal,0.0557,0.399,8.23e-5,0.00176,enriched
TMEM86A,Dorsal,0.078,0.399,1.95e-5,4.97e-4,enriched
ST3GAL6,Dorsal,0.0704,0.396,0.00135,0.0196,enriched
PIEZO1,Dorsal,0.0375,0.396,6.17e-4,0.0102,enriched
BASP1,Dorsal,1.8394,0.395,2.22e-17,9.75e-15,enriched
DNAH12,Dorsal,0.0686,0.394,0.0014,0.0202,enriched
FAM110A,Dorsal,0.0696,0.393,0.00119,0.0177,enriched
ZFP36L2,Dorsal,0.5273,0.392,3.45e-7,1.43e-5,enriched
ANXA11,Dorsal,0.0574,0.392,4.91e-4,0.00835,enriched
HENMT1,Dorsal,0.0309,0.391,1.45e-4,0.00288,enriched
GSTA2,Dorsal,0.2343,0.39,2.84e-5,6.87e-4,enriched
NTNG1,Dorsal,0.0722,0.39,8.04e-4,0.0127,enriched
SPTBB4L,Dorsal,0.0511,0.387,0.00169,0.0237,enriched
PIK3CB,Dorsal,0.227,0.385,1.59e-7,7.04e-6,enriched
SMAD9,Dorsal,0.0597,0.382,8.99e-4,0.014,enriched
DNER,Dorsal,0.1422,0.382,1.1e-4,0.00226,enriched
ADGRA2,Dorsal,0.0679,0.381,2.03e-7,8.72e-6,enriched
SNX9,Dorsal,0.1965,0.381,9.57e-9,5.74e-7,enriched
MIR1462,Dorsal,0.0678,0.38,1.53e-5,4.04e-4,enriched
HSPA2,Dorsal,0.1061,0.38,1.29e-7,5.88e-6,enriched
PCDH20,Dorsal,0.0297,0.377,0.00133,0.0195,enriched
KCNIP1,Dorsal,0.1458,0.377,0.00232,0.0308,enriched
RAB18,Dorsal,0.6504,0.376,8.12e-14,1.58e-11,enriched
ZNF330,Dorsal,0.2354,0.376,5e-9,3.25e-7,enriched
PHACTR3,Dorsal,0.3025,0.374,1.67e-6,5.83e-5,enriched
CLEC18B,Dorsal,0.0523,0.373,0.00297,0.0374,enriched
PKIG,Dorsal,0.0681,0.372,1.6e-5,4.2e-4,enriched
ST13,Dorsal,1.0452,0.371,1.47e-7,6.62e-6,enriched
PIBPPDD4L,Dorsal,0.0981,0.37,5.67e-4,0.00947,enriched
LOC112531598,Dorsal,0.1549,0.368,1.41e-6,5.01e-5,enriched
CFAP69,Dorsal,0.1,0.366,9.23e-5,0.00194,enriched
PDE10A,Dorsal,1.1217,0.365,5.36e-8,2.69e-6,enriched
SPON1,Dorsal,1.5653,0.365,6.26e-17,2.28e-14,enriched
ABHD6,Dorsal,0.0543,0.363,0.00217,0.0292,enriched
FAM206A,Dorsal,0.1254,0.363,2.68e-9,1.84e-7,enriched
SH3D19,Dorsal,0.7478,0.362,3.5e-10,2.94e-8,enriched
FLRT2,Dorsal,0.2332,0.362,7.37e-7,2.79e-5,enriched
TNS1,Dorsal,0.5136,0.362,1.09e-7,5.01e-6,enriched
TBC1D4,Dorsal,0.2765,0.361,5.19e-7,2.06e-5,enriched
TOX,Dorsal,1.3672,0.361,3.6e-11,3.85e-9,enriched
ADAMTS3,Dorsal,0.2775,0.361,0.00208,0.028,enriched
EML1,Dorsal,0.5609,0.361,7.12e-11,6.81e-9,enriched
LOC107053905,Dorsal,0.0477,0.359,0.00265,0.0341,enriched
MEIKIN,Dorsal,0.0465,0.358,0.00136,0.0198,enriched
MBOAT2,Dorsal,0.3472,0.357,4.82e-11,4.87e-9,enriched
GLI1,Dorsal,0.0963,0.355,1.65e-5,4.32e-4,enriched
TNFSF10,Dorsal,0.376,0.355,8.1e-8,3.89e-6,enriched
LOC112531773,Dorsal,0.142,0.353,7.27e-6,2.11e-4,enriched
LOC107053919,Dorsal,0.3581,0.353,1.63e-13,2.95e-11,enriched
PROX1,Dorsal,0.8039,0.352,4.89e-6,1.48e-4,enriched
ENPP4,Dorsal,0.1563,0.352,1.98e-6,6.78e-5,enriched
NSMF,Dorsal,0.0385,0.351,0.00222,0.0297,enriched
RD3,Dorsal,0.0422,0.351,0.00146,0.021,enriched
KCNC2,Dorsal,0.3499,0.349,2.56e-8,1.37e-6,enriched
BAIAP2,Dorsal,0.0519,0.349,0.00143,0.0206,enriched
SLC29A1,Dorsal,0.1042,0.349,1.26e-5,3.43e-4,enriched
SULF2,Dorsal,0.2267,0.348,5.09e-6,1.54e-4,enriched
MYL4,Dorsal,0.5387,0.348,5.19e-4,0.00877,enriched
COL25A1,Dorsal,1.1805,0.348,1.62e-7,7.14e-6,enriched
ANKRD50,Dorsal,0.1644,0.348,2.19e-5,5.5e-4,enriched
ZNF385C,Dorsal,0.2796,0.347,5.64e-6,1.68e-4,enriched
FMN1,Dorsal,0.5068,0.347,8.93e-8,4.23e-6,enriched
DCBLD2,Dorsal,0.3303,0.346,4.06e-4,0.0071,enriched
LHFP,Dorsal,1.5633,0.346,1.32e-11,1.57e-9,enriched
PRKCA,Dorsal,0.2762,0.346,7.59e-7,2.86e-5,enriched
PARVB,Dorsal,0.1837,0.345,8.88e-8,4.22e-6,enriched
SMAD3,Dorsal,0.8318,0.345,6.72e-11,6.5e-9,enriched
CRYM,Dorsal,0.5795,0.345,1.66e-4,0.00323,enriched
PRKAR2A,Dorsal,0.543,0.344,1.3e-8,7.58e-7,enriched
GPR27,Dorsal,0.2163,0.344,8.43e-7,3.13e-5,enriched
LOC107055356,Dorsal,0.0863,0.344,2.3e-4,0.00435,enriched
MIR1397,Dorsal,0.2604,0.342,7.31e-7,2.78e-5,enriched
VTN,Dorsal,0.4726,0.342,4.05e-10,3.37e-8,enriched
ALCAM,Dorsal,0.0977,0.341,8.98e-5,0.00189,enriched
C5H15orf41,Dorsal,0.0935,0.341,2.18e-5,5.47e-4,enriched
SOCS6,Dorsal,0.5203,0.34,1.34e-10,1.23e-8,enriched
MIR1724,Dorsal,0.0538,0.34,4.43e-4,0.00764,enriched
