gene,region,average_expression,log2FC,pval,adj_pval,direction
CADPS2,NTcentral,0.2498,-0.597,2.42e-4,0.04,de-enriched
LRRN1,NTcentral,0.228,-0.599,1.39e-4,0.027,de-enriched
GPC6,NTcentral,0.4114,-0.605,1.87e-5,0.00709,de-enriched
RSPH9,NTcentral,0.1715,-0.608,5.08e-5,0.0145,de-enriched
KHDRBS3,NTcentral,0.1607,-0.615,3.91e-6,0.00248,de-enriched
MAN1A1,NTcentral,0.3108,-0.621,9.44e-7,8.87e-4,de-enriched
DSEL,NTcentral,0.1695,-0.623,9.19e-6,0.00436,de-enriched
VSX2,NTcentral,0.4666,-0.625,2.52e-4,0.0407,de-enriched
CNTNAP3B,NTcentral,0.1139,-0.626,4.97e-5,0.0143,de-enriched
COL2A1,NTcentral,0.5451,-0.643,1.8e-5,0.00694,de-enriched
RDH10,NTcentral,0.2168,-0.654,1.5e-5,0.00611,de-enriched
CDH6,NTcentral,0.2739,-0.665,1.83e-6,0.00136,de-enriched
EFHD2,NTcentral,0.1128,-0.67,9.02e-6,0.00434,de-enriched
TLE3,NTcentral,0.1804,-0.676,1.95e-5,0.00729,de-enriched
TGFB2,NTcentral,0.1533,-0.688,1.11e-6,8.98e-4,de-enriched
C9orf135,NTcentral,0.0796,-0.698,2.94e-4,0.0435,de-enriched
ZIC5,NTcentral,0.1071,-0.707,5.54e-5,0.0153,de-enriched
SYT7,NTcentral,0.107,-0.723,1.76e-4,0.0315,de-enriched
NR2F1,NTcentral,0.5763,-0.726,4.94e-6,0.00298,de-enriched
LRP2,NTcentral,0.3524,-0.727,2.68e-4,0.0417,de-enriched
SAMD11,NTcentral,0.0931,-0.73,2.41e-8,5.04e-5,de-enriched
CACNB2,NTcentral,0.0885,-0.736,4.52e-5,0.0131,de-enriched
SYT17,NTcentral,0.0509,-0.755,3.85e-5,0.0118,de-enriched
TMEM51,NTcentral,0.0254,-0.768,1.44e-4,0.0275,de-enriched
NECAB2,NTcentral,0.1263,-0.771,1.11e-6,8.98e-4,de-enriched
PACRG,NTcentral,0.0435,-0.78,1.26e-4,0.0259,de-enriched
PCDH9,NTcentral,0.2544,-0.782,1.27e-5,0.00536,de-enriched
ZIC2,NTcentral,0.3892,-0.782,7.01e-5,0.0179,de-enriched
RALYL,NTcentral,0.2623,-0.788,1.53e-5,0.00619,de-enriched
GJA1,NTcentral,0.2216,-0.794,4.08e-5,0.0123,de-enriched
BHLHE22,NTcentral,0.0677,-0.795,1e-4,0.0225,de-enriched
SHISA2,NTcentral,0.1195,-0.819,2.96e-5,0.00966,de-enriched
APCDD1,NTcentral,0.0953,-0.83,2.52e-5,0.00855,de-enriched
PTPRQ,NTcentral,0.1366,-0.833,3.71e-4,0.0496,de-enriched
C11orf88,NTcentral,0.0256,-0.836,3.08e-4,0.0447,de-enriched
SFRP2,NTcentral,1.7425,-0.845,9.92e-8,1.68e-4,de-enriched
FAM183A,NTcentral,0.0329,-0.846,1.52e-4,0.0285,de-enriched
DAPL1,NTcentral,1.355,-0.894,8.7e-7,8.84e-4,de-enriched
OTX1,NTcentral,0.0325,-0.905,1.3e-4,0.0264,de-enriched
RMST,NTcentral,0.1863,-0.907,7.62e-5,0.0187,de-enriched
CPAMD8,NTcentral,0.2783,-0.914,2.54e-6,0.00177,de-enriched
ADAMTS9,NTcentral,0.0291,-0.96,3.59e-4,0.0485,de-enriched
LGR6,NTcentral,0.0392,-0.966,5.27e-5,0.0147,de-enriched
CYP1B1,NTcentral,0.6782,-0.969,3.05e-6,0.00205,de-enriched
ZIC1,NTcentral,0.1658,-0.987,1.07e-6,8.98e-4,de-enriched
PCSK1N,NTcentral,0.2109,-1.002,9.47e-7,8.87e-4,de-enriched
PGM5,NTcentral,0.0325,-1.013,7.09e-6,0.00376,de-enriched
MYOCD,NTcentral,0.0139,-1.017,1.56e-4,0.0286,de-enriched
LHX9,NTcentral,0.1799,-1.02,6.2e-6,0.00354,de-enriched
CLDN1,NTcentral,0.0801,-1.023,1.71e-4,0.0308,de-enriched
OPRK1,NTcentral,0.0211,-1.05,2.41e-4,0.04,de-enriched
ALDH1A3,NTcentral,0.0857,-1.097,6.75e-6,0.00369,de-enriched
CDON,NTcentral,0.2097,-1.118,2.14e-9,9.53e-6,de-enriched
RASSF9,NTcentral,0.0266,-1.12,3.58e-6,0.00234,de-enriched
LRRN2,NTcentral,0.027,-1.142,3.81e-5,0.0118,de-enriched
NTNG2,NTcentral,0.0201,-1.142,2.78e-5,0.00924,de-enriched
COL9A2,NTcentral,0.1281,-1.162,7.34e-7,8.16e-4,de-enriched
OLFM3,NTcentral,0.0604,-1.181,4.64e-8,9.16e-5,de-enriched
FGF19,NTcentral,0.2353,-1.181,3.67e-7,5.02e-4,de-enriched
CACNA1D,NTcentral,0.031,-1.224,3.73e-5,0.0118,de-enriched
CHSY3,NTcentral,0.16,-1.225,7.64e-6,0.00383,de-enriched
CLEC19A,NTcentral,0.043,-1.225,1.11e-7,1.8e-4,de-enriched
OPCML,NTcentral,0.0759,-1.243,6.07e-7,6.96e-4,de-enriched
RELN,NTcentral,0.2411,-1.246,7.16e-9,1.96e-5,de-enriched
ALDH1A1,NTcentral,0.2897,-1.301,2.12e-6,0.00151,de-enriched
AC092958.1,NTcentral,0.0203,-1.315,4.85e-6,0.00297,de-enriched
ADAMTS9-AS2,NTcentral,0.022,-1.401,9.38e-5,0.0218,de-enriched
EFNA2,NTcentral,0.0237,-1.406,7.52e-6,0.00383,de-enriched
CCK,NTcentral,0.056,-1.416,1.01e-5,0.00458,de-enriched
LRRC3B,NTcentral,0.031,-1.547,3.41e-9,1.21e-5,de-enriched
SLC16A6,NTcentral,0.0183,-1.568,5.67e-7,6.72e-4,de-enriched
EFNA5,NTcentral,0.6231,-1.577,6.19e-11,3.72e-7,de-enriched
PTCHD4,NTcentral,0.0093,-1.579,2.51e-4,0.0407,de-enriched
MECOM,NTcentral,0.0532,-1.582,4.98e-9,1.61e-5,de-enriched
ADAMTS9-AS1,NTcentral,0.0223,-1.585,4.15e-7,5.47e-4,de-enriched
VWC2,NTcentral,0.0318,-1.588,5.21e-7,6.39e-4,de-enriched
ETNPPL,NTcentral,0.0072,-1.669,1.19e-4,0.0248,de-enriched
CALB1,NTcentral,0.0764,-1.673,1.27e-6,9.61e-4,de-enriched
HMX1,NTcentral,0.5211,-1.743,6.28e-11,3.72e-7,de-enriched
OPTC,NTcentral,0.0492,-1.75,2.22e-5,0.00788,de-enriched
AC209005.1,NTcentral,0.0134,-1.85,1.82e-5,0.00697,de-enriched
AOC3,NTcentral,0.0054,-1.884,3.13e-5,0.01,de-enriched
PDE11A,NTcentral,0.0206,-1.904,4.46e-5,0.013,de-enriched
EPHA3,NTcentral,0.0698,-1.955,1.2e-6,9.25e-4,de-enriched
WFDC1,NTcentral,0.0687,-2.003,3.31e-9,1.21e-5,de-enriched
FOXG1,NTcentral,0.0348,-2.692,7.53e-11,3.83e-7,de-enriched
RP11-352D13.6,NTcentral,3e-4,-10,3.31e-4,0.0466,de-enriched
